THETAO,PR,CHL,SO
8.18999573,0.000022168,5.66E-07,33.3517451
10.05438837,2.74E-05,0.000000348,33.26429635
12.87251259,2.17E-05,0.000000196,32.96286535
14.63416028,1.51E-05,1.61E-07,32.82498772
14.99439432,1.96E-05,1.60E-07,33.08003036
14.71358148,3.13E-05,1.75E-07,33.18887712
12.62928897,4.19E-05,2.28E-07,33.44893345
10.786543,4.96E-05,0.000000203,33.94058578
9.156130888,5.27E-05,0.000000159,33.98862187
7.482568354,3.97E-05,2.10E-07,33.99566766
6.337331062,3.02E-05,3.60E-07,33.8182083
6.28967863,0.000034476,4.88E-07,33.8611812
7.355715058,2.80E-05,5.26E-07,33.54776723
9.139956936,2.61E-05,4.09E-07,33.39709879
11.75602572,2.13E-05,2.58E-07,33.06002573
14.30189204,1.66E-05,1.61E-07,32.90238663
16.10330827,1.04E-05,1.41E-07,32.86054199
14.84804579,3.33E-05,1.71E-07,33.06365359
12.30885743,3.34E-05,2.32E-07,33.33339426
10.13325432,4.48E-05,2.10E-07,33.46362265
8.695179198,4.19E-05,1.69E-07,33.55898663
7.264728803,3.53E-05,2.01E-07,33.50035359
6.196189604,2.44E-05,3.40E-07,33.42264073
5.529789864,0.000022763,0.000000505,33.23170075
6.52465069,2.74E-05,5.09E-07,33.26910663
9.051577393,2.02E-05,3.49E-07,32.93517513
12.72888373,2.41E-05,1.78E-07,32.5106825
14.55764799,1.92E-05,1.54E-07,32.65807388
14.96117356,0.00002223,1.51E-07,32.70302687
14.12933698,2.78E-05,0.000000178,32.7432513
12.39062906,4.56E-05,2.10E-07,32.90337792
10.50574195,4.00E-05,0.000000207,33.09939618
8.539604506,4.92E-05,1.77E-07,33.3234486
7.078791965,3.59E-05,0.000000223,33.19453406
6.769391414,0.000030881,3.17E-07,33.29755876
6.305761234,2.43E-05,5.01E-07,32.85472603
7.045984901,3.09E-05,4.41E-07,32.94874475
9.435683893,1.85E-05,3.26E-07,32.57181736
11.25643344,2.81E-05,2.35E-07,32.63752677
14.4275873,2.38E-05,1.66E-07,32.25743709
14.41206331,2.26E-05,0.000000171,32.55515474
13.56876707,3.23E-05,1.75E-07,32.42024885
12.28048797,3.91E-05,1.93E-07,32.51350479
9.765402845,5.20E-05,2.15E-07,32.96789677
7.919256111,5.14E-05,1.77E-07,32.92326307
