Date,SO (P2.5),SO (P50),SO (P97.5)
01 Jan 2000,33.24738484693003,33.54566677472139,34.05841896961651
01 Feb 2000,33.005924982097014,33.45301610266642,33.60162991130909
01 Mar 2000,32.9364255231843,33.34634925911402,33.47853226952057
01 Apr 2000,32.977342233282386,33.18996206068244,33.355690135825476
01 May 2000,32.548384308960465,33.02661929585938,33.210468163930344
01 Jun 2000,32.224872187575805,32.87244640691437,33.39858792143943
01 Jul 2000,32.46670169995403,32.896084085071855,33.084060654246976
01 Aug 2000,32.336706628552804,32.45784043236942,32.79318521159841
01 Sep 2000,32.430794011098364,32.795940741121626,33.02493431955845
01 Oct 2000,33.000463649865374,33.184957601671606,33.232822029713894
01 Nov 2000,33.2666101640877,33.51500248366683,33.67938842490215
01 Dec 2000,33.24275413757266,33.66955426599566,33.958986151566926
