Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Sep 2049,6.570824452563258e-07,7.522149189299863e-07,8.473473926036467e-07
01 Oct 2049,1.3190976901797983e-06,1.3221259995083513e-06,1.3251543088369042e-06
01 Nov 2049,1.6664545591678826e-06,1.7641230109318974e-06,1.8617914626959122e-06
01 Dec 2049,1.812293963929075e-06,1.908088915709673e-06,2.0038838674902707e-06
01 Jan 2050,1.6612182395127614e-06,1.7882981177476168e-06,1.915377995982472e-06
01 Feb 2050,1.3115154415700903e-06,1.5271402215579909e-06,1.7427650015458914e-06
01 Mar 2050,1.0149485387642633e-06,1.4160642087573204e-06,1.8171798787503774e-06
01 Apr 2050,3.393820705033043e-07,4.732617047261778e-07,6.071413389490513e-07
01 May 2050,1.9877377646910713e-07,3.1186129437003563e-07,4.2494881227096413e-07
01 Jun 2050,2.983362427545665e-07,5.382401002021279e-07,7.781439576496891e-07
01 Jul 2050,3.953475027670959e-07,4.5086709199989947e-07,5.063866812327031e-07
01 Aug 2050,4.054933491503556e-07,5.143921994756715e-07,6.232910498009875e-07
01 Sep 2050,6.683257737358521e-07,7.687873227656984e-07,8.692488717955447e-07
01 Oct 2050,1.2195126338311461e-06,1.2674994443275627e-06,1.3154862548239793e-06
01 Nov 2050,1.6463736793346616e-06,1.6783510042325021e-06,1.7103283291303424e-06
01 Dec 2050,1.8631291075448224e-06,1.9722316688808376e-06,2.0813342302168533e-06
01 Jan 2051,1.5596586065909205e-06,1.6398037482209121e-06,1.7199488898509037e-06
01 Feb 2051,1.6264492312890561e-06,1.991583453564459e-06,2.3567176758398625e-06
01 Mar 2051,1.1150720920426035e-06,1.2344900462529803e-06,1.3539080004633572e-06
01 Apr 2051,7.015820729971463e-07,7.55963910984993e-07,8.103457489728398e-07
01 May 2051,3.9534012845589577e-07,4.312199106484128e-07,4.670996928409298e-07
01 Jun 2051,3.275167541369088e-07,3.9181226714793153e-07,4.561077801589543e-07
01 Jul 2051,3.7564899737471236e-07,3.9958304422670727e-07,4.235170910787022e-07
01 Aug 2051,5.726843686147015e-07,5.932156566757698e-07,6.137469447368381e-07
01 Sep 2051,7.027633767841606e-07,7.730900331871304e-07,8.434166895901002e-07
01 Oct 2051,1.149243790355759e-06,1.1880721346660085e-06,1.2269004789762577e-06
01 Nov 2051,1.634808269246601e-06,1.7533809747932153e-06,1.8719536803398293e-06
01 Dec 2051,1.664450729839578e-06,1.6910456685477733e-06,1.7176406072559686e-06
01 Jan 2052,1.4631077474750246e-06,1.582027508390295e-06,1.7009472693055656e-06
01 Feb 2052,1.442542318508426e-06,1.9069189024747057e-06,2.3712954864409853e-06
01 Mar 2052,1.4183186197079685e-06,1.5462432802124977e-06,1.674167940717027e-06
01 Apr 2052,6.829539368262982e-07,7.667114904677253e-07,8.504690441091525e-07
01 May 2052,2.67631125610053e-07,4.461936353017867e-07,6.247561449935204e-07
01 Jun 2052,2.984510860280215e-07,5.43115286536173e-07,7.877794870443245e-07
01 Jul 2052,4.1118392451163633e-07,5.237545971549293e-07,6.363252697982224e-07
01 Aug 2052,4.000842869739909e-07,4.686940245957915e-07,5.373037622175922e-07
01 Sep 2052,7.382268791753109e-07,7.969911616966213e-07,8.557554442179317e-07
01 Oct 2052,1.3582701582508009e-06,1.3812185502587912e-06,1.4041669422667817e-06
01 Nov 2052,1.7200793191199226e-06,1.8639440232693173e-06,2.0078087274187118e-06
01 Dec 2052,1.7251120206325955e-06,1.91857170367834e-06,2.1120313867240844e-06
01 Jan 2053,1.6595097226321884e-06,1.68277267872047e-06,1.7060356348087514e-06
01 Feb 2053,1.9284826453830294e-06,2.0795502026877653e-06,2.2306177599925007e-06
01 Mar 2053,1.0658761137082486e-06,1.212949489226866e-06,1.3600228647454833e-06
01 Apr 2053,3.529508587273892e-07,3.8359851030886994e-07,4.142461618903507e-07
01 May 2053,1.8017337151949918e-07,3.8496350613909577e-07,5.897536407586924e-07
01 Jun 2053,2.94313998356213e-07,5.379883666738701e-07,7.816627349915271e-07
01 Jul 2053,3.903757235371152e-07,6.425872506760437e-07,8.947987778149721e-07
01 Aug 2053,4.953215092347938e-07,6.095242929258308e-07,7.237270766168677e-07
01 Sep 2053,7.635499844634575e-07,8.642821213974689e-07,9.650142583314803e-07
01 Oct 2053,1.1665560252286943e-06,1.252807556737988e-06,1.3390590882472818e-06
01 Nov 2053,1.710838348240757e-06,1.7531062365945824e-06,1.7953741249484077e-06
01 Dec 2053,1.6785418808236466e-06,1.7700245684849966e-06,1.8615072561463467e-06
01 Jan 2054,1.5337208121624109e-06,1.5797186761332578e-06,1.6257165401041048e-06
01 Feb 2054,1.4387699031339965e-06,1.7271829116421777e-06,2.0155959201503588e-06
