Date,CHL (P2.5),CHL (P50),CHL (P97.5)
01 Nov 2013,1.6916027713676873e-06,1.7472337370755912e-06,1.8028647027834953e-06
01 Dec 2013,1.7491041834339595e-06,1.760857632430302e-06,1.7726110814266446e-06
01 Jan 2014,1.5591349066002107e-06,1.7312936638331122e-06,1.9034524210660137e-06
01 Feb 2014,1.4410747764588384e-06,1.8463723089951853e-06,2.251669841531532e-06
01 Mar 2014,1.539416974240991e-06,1.7175605718809478e-06,1.8957041695209046e-06
01 Apr 2014,5.394490898416347e-07,8.973043803232869e-07,1.2551596708049391e-06
01 May 2014,2.8105663042459777e-07,4.3709450390671243e-07,5.931323773888272e-07
01 Jun 2014,3.3120453869292123e-07,3.921138882371131e-07,4.53023237781305e-07
01 Jul 2014,3.3095754790827945e-07,3.5067854076930683e-07,3.7039953363033416e-07
01 Aug 2014,3.1438793281259387e-07,3.2035708028593676e-07,3.2632622775927966e-07
01 Sep 2014,6.175513006300125e-07,6.843090450291778e-07,7.510667894283432e-07
01 Oct 2014,1.1735297083905955e-06,1.2096063368160643e-06,1.245682965241533e-06
01 Nov 2014,1.7265277751654977e-06,1.7863483039289912e-06,1.8461688326924844e-06
01 Dec 2014,1.6763651938204507e-06,1.8033041608595398e-06,1.930243127898629e-06
01 Jan 2015,1.547701077226921e-06,1.6510128458400594e-06,1.7543246144531978e-06
01 Feb 2015,1.8472956631258277e-06,2.1677716722242414e-06,2.4882476813226546e-06
01 Mar 2015,1.1749778784169083e-06,1.3320976941587685e-06,1.4892175099006287e-06
01 Apr 2015,5.977928790552357e-07,9.829007414792284e-07,1.3680086039032211e-06
01 May 2015,4.975288076006352e-07,5.285857170300136e-07,5.596426264593922e-07
01 Jun 2015,3.740246238611951e-07,4.787212903355811e-07,5.834179568099671e-07
01 Jul 2015,3.50465397460577e-07,4.7150654350911913e-07,5.925476895576613e-07
01 Aug 2015,3.771498621418911e-07,4.20796303004951e-07,4.64442743868011e-07
01 Sep 2015,6.328738437029932e-07,6.767436936593743e-07,7.206135436157555e-07
01 Oct 2015,1.0391787164428214e-06,1.1654250549344446e-06,1.2916713934260675e-06
01 Nov 2015,1.7666963081979236e-06,1.7881378301001516e-06,1.8095793520023794e-06
01 Dec 2015,1.5710933809391658e-06,1.769115707097208e-06,1.967138033255251e-06
01 Jan 2016,1.5559645744646148e-06,1.6010787601039113e-06,1.646192945743208e-06
01 Feb 2016,1.6435898779746616e-06,1.7412961284857335e-06,1.8390023789968054e-06
01 Mar 2016,1.465553723050575e-06,1.5161810559944484e-06,1.5668083889383216e-06
01 Apr 2016,8.227349397718393e-07,1.208538958222022e-06,1.5943429766722047e-06
01 May 2016,8.346247582732918e-07,9.992234412698549e-07,1.1638221242664179e-06
01 Jun 2016,7.953998379350464e-07,8.294621277884386e-07,8.635244176418307e-07
01 Jul 2016,4.613857326129098e-07,5.041309040775871e-07,5.468760755422644e-07
01 Aug 2016,4.48683430629706e-07,4.9166326399361e-07,5.346430973575142e-07
01 Sep 2016,8.0712074896078e-07,8.12179242373329e-07,8.172377357858781e-07
01 Oct 2016,1.1425372853073814e-06,1.231746046013043e-06,1.3209548067187046e-06
01 Nov 2016,1.6218259839116124e-06,1.6344556052987388e-06,1.6470852266858653e-06
01 Dec 2016,1.7805073304198855e-06,1.830216256171987e-06,1.8799251819240883e-06
